 НПФ;ID;Дата;Средства на инвестиционном счете и прочие активы;Долгосрочные ЦБ Мин финансов РК  в национальной валюте;Долгострочные ЦБ Мин финансов РК  в иностранной валюте (еврооблигации);Краткосрочные ЦБ Мин финансов РК  в национальной валюте;Краткосрочные ЦБ Мин финансов РК  в иностранной валюте;Акции иностранных эмитентов ;Облигации иностранных эмитентов ;ЦБ иностранных государств;ЦБ международных финансовых организаций;Акции эмитентов РК ;Облигации эмитентов РК ;Вклады в национальной валюте;Вклады в иностранной валюте;Аффинированное золото; Паи РК ; Паи иностранных фондов ; Производные инсрументы ;Check Sum
;;;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;
ГРАНТУМ;1;01.04.2011;3.3;48.41;0;7.48;0;0.94;1.06;0.85;0;2.76;26.10;9.09;0;0;0;0;0;99.99
?лар?міт;2;01.04.2011;2.97;28.38;0;13.51;0;12.23;1.86;0;0;7.25;27.22;6.57;0;0;0;0;0;99.99
АМАНАТ КАЗАХСТАН;11;01.04.2011;2.72;25.91;1.05;15.32;0;3.26;4.14;0;0;11.19;36.42;0;0;0;0;0;0;100.01
Атамекен;6;01.04.2011;0.58;47.58;0;0.69;0;1.34;0.21;0;0;14.27;35.32;0;0;0;0;0;0;99.99
ГНПФ;16;01.04.2011;1.71;37.58;0.42;1.13;0;0;6.61;8.56;3.17;1.22;18.86;15.28;2.71;1.81;0;0;0;99.06
БТА Казахстан;12;01.04.2011;1.65;29.5;0;0;0;0;13.74;0;0;17.06;38.12;0;0;0;0;0;-0.07;100
НПФ Народного Банка Казахстана;3;01.04.2011;3.01;34.75;0;6.4;0;5.85;10.13;0;4.8;9.61;11.42;7.96;0;6.06;0;0;0;99.99
Казахмыс;9;01.04.2011;4.58;25.96;0;0.72;0;0.81;0;0;0;21.95;45.98;0;0;0;0;0;0;100
НефтеГаз - Дем;4;01.04.2011;2.7;47.53;0;3.53;0;0;0.9;0;0;2.81;42.5;0;0;0;0;0;0;99.97
Евразийский НПФ;5;01.04.2011;1.41;46.86;0;0.21;0;0;3.55;0.8;1.54;1.32;39.02;5.28;0;0;0;0;0;99.99
Отан;14;01.04.2011;1.52;35.7;0;4.45;0;0;1.79;0;2.33;16.32;35.16;2.72;0;0;0;0;0;99.99
Капитал;10;01.04.2011;0.58;62.71;0;0;0;0.3;0;0;1.93;2;29.93;2.56;0;0;0;0;0;100.01
РЕСПУБЛИКА;8;01.04.2011;1.04;47.43;0;17.35;0;1.01;0;0;0;6.08;27.08;0;0;0;0;0;0;99.99
